Mine,Latitude,Longitude,Blue_B02,Green_B03,Red_B04,NIR_B08,SWIR1_B11,SWIR2_B12,NDVI,Distance_to_Manganese_km,Manganese_Presence,Lithology,GLiM_ID,Elevation_mean_m,Elevation_min_m,Elevation_max_m,Slope_mean_degrees,Slope_min_degrees,Slope_max_degrees,LST_mean_C,LST_min_C,LST_max_C
Kandri,21.42435340535324,79.24582527398078,0.1543,0.1662,0.1621,0.3651,0.295,0.2019,0.3850531,3.14565173592969,0,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Ukwa,21.96363165380117,80.48754525301005,0.1414,0.1604,0.1881,0.3216,0.3693,0.3139,0.26191875,0.4875493472921728,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Sitapatore,21.65780982875297,79.66062386440106,0.2036,0.2256,0.2734,0.3647,0.494,0.4059,0.14308098,9.678757527309983,0,Metamorphics,IND2497,330.57553,308.20984,387.75015,3.0461476,0.0,33.174393,31.900742,31.206608,32.967358
Tirodi,21.705623890963984,79.69826696251752,0.1512,0.1718,0.1712,0.3354,0.3098,0.2234,0.32412153,5.950562028615921,0,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Chikla,21.526097373403854,79.75277951726623,0.1478,0.1683,0.1448,0.4144,0.2892,0.1887,0.48211727,6.014879586749792,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Ukwa,21.969230463271863,80.48675032292601,0.196,0.2342,0.278,0.3481,0.4843,0.4232,0.11196296,0.469481551014007,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Balaghat,21.85265518896384,80.24387384040183,0.2174,0.2808,0.3398,0.4244,0.5223,0.4386,0.11070401,0.4030427718964097,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Ukwa,21.95145099182691,80.46415272511695,0.1919,0.2232,0.2862,0.3652,0.4483,0.4016,0.121277295,0.3677550189019206,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Munsar,21.4111628784674,79.2803203162082,0.2132,0.2302,0.2482,0.2969,0.3491,0.276,0.08934142,0.1838376066435533,1,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Ukwa,21.9566775204594,80.46006555327084,0.1788,0.2186,0.27,0.3435,0.4483,0.3813,0.11980437,0.3105972362662485,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
